Date,CAT,DD,DIS,CVX,GS,XOM,MSFT,WMT,CSCO,JNJ,VZ,NKE,MMM,PFE,JPM,INTC,KO,AAPL,AXP,V,IBM,BA,MRK,UNH,HD,UTX,PG,MCD,TRV,GE
11/15/2012,81.3,42.1,47.47,101.62,115.44,86.14,26.66,68.72,17.94,69.07,41.7,22.71,88.02,23.66,39.39,20.03,36.43,75.09,53.64,35,185.85,71.04,42.8,51.25,61.25,74.84,66.32,84.05,68.32,20.06
11/16/2012,81.93,41.95,47.42,102.4,115.84,86.45,26.52,68.03,17.99,69.19,41.4,23.15,88.5,23.86,39.53,20.19,36.56,75.38,54.3,35.68,186.94,70.77,43.07,51.9,62.12,75.25,66.82,84.12,68.65,20.15
11/19/2012,83.62,42.93,47.91,104.35,118.3,87.67,26.73,69.02,18.3,69.25,42.81,24.08,89.57,24.14,40.59,20.25,37.24,80.82,55.23,36.41,190.35,71.96,43.34,52.91,63.33,76.58,67.92,85.04,69.54,20.66
11/20/2012,83.33,42.8,48.44,103.56,118.09,87.5,26.71,69,18.34,69.67,42.82,23.9,89.02,24.28,40.7,19.51,37.25,80.13,55.86,36.58,189.2,72.54,43.56,53.14,63.82,76.69,68.3,85.68,69.64,20.62
11/21/2012,83.05,42.42,48.68,104.1,117.7,88.01,26.95,68.89,18.48,69.59,43.16,23.9,88.94,24.35,40.73,19.36,37.39,80.24,55.98,36.66,190.29,73.15,43.89,53.53,64.09,77.33,68.47,86.01,70.22,20.68
11/23/2012,84.16,43.12,49.26,105.47,120.31,89.09,27.7,70.2,18.84,69.56,43.76,24.19,90.28,24.53,41.09,19.72,37.93,81.64,56.51,37.03,193.49,73.74,44.28,53.92,64.82,78.61,69.59,87.05,71.27,21.04
11/26/2012,84.65,43.34,49.03,104.99,120.94,88.62,27.38,69.91,19.06,69.09,43.3,24.42,90.09,24.48,40.88,19.88,37.36,84.22,55.69,36.81,192.88,74.27,44.2,53.53,64.67,78.68,69.48,86.24,70.86,21.06
11/27/2012,84.01,43.44,48.6,103.38,118.41,87.35,27.08,69.5,18.96,68.81,42.98,24.25,90.31,24.25,40.75,19.93,37.42,83.54,54.44,36.7,191.23,74.49,43.88,52.59,64.16,78.83,68.99,85.92,70.83,20.87
11/28/2012,84.94,43.24,49.2,105.58,119.33,88.1,27.36,70.56,18.83,69.29,43.56,24.78,90.93,24.67,40.83,20.09,37.56,83.28,55.51,36.82,191.98,74.09,44.6,52.75,64.83,79.8,69.44,86.52,70.96,21.14
11/29/2012,86.25,43.54,49.72,105.79,118.73,88.12,26.95,70.83,19.01,69.22,44.01,24.74,90.65,24.85,41.22,19.53,37.97,84.19,55.92,37.04,191.53,74.12,44.71,54.36,64.24,79.76,69.5,86.49,71.18,21.13
11/30/2012,85.24,43.14,49.66,105.69,117.79,88.14,26.62,72.02,18.91,69.73,44.12,24.37,90.95,25.02,41.08,19.56,37.92,83.61,55.9,37.43,190.07,74.28,44.3,54.39,65.07,80.11,69.83,87.04,70.82,21.13
12/3/2012,84.49,42.39,49.29,104.66,118.4,87.61,26.43,71.34,19.03,69.65,44.1,24.39,90.3,25.09,40.81,19.54,37.38,83.74,55.99,37.16,189.48,74.02,44.44,53.89,64.98,79.8,69.58,87.06,70.95,20.82
12/4/2012,84.16,42.48,49.3,103.96,116.58,87.19,26.37,72.12,19.17,69.86,43.67,24.42,90.12,25.16,40.57,19.97,37.15,82.26,55.84,36.9,189.36,74.05,44.4,53.54,64.24,80.14,69.31,87.2,70.53,20.86
12/5/2012,86.05,42.62,49.59,105.17,117.13,87.73,26.67,71.65,19.21,69.97,44.1,24.42,90.76,25.64,41.2,19.85,37.31,76.97,56.4,37.02,188.65,73.87,44.39,53.84,64.02,80.23,69.41,86.97,74,21.23
